sample_size,core_mean,core_std,pan_mean,pan_std,accessory_mean,accessory_std
1,1897.6,52.7456791279311,1897.6,52.7456791279311,0.0,0.0
2,1576.1,149.02674256656084,2221.36,161.2673258908946,645.26,305.55089985139955
3,1409.66,140.97171489344944,2558.38,179.80666172308523,1148.72,307.8139074181022
4,1342.74,122.89797557323716,2817.0,212.01462213724787,1474.26,327.5186596210971
5,1323.48,117.82991810232238,2946.34,218.82784192145203,1622.86,326.81891071356324
6,1308.06,117.64053893110146,3099.38,238.08636164215707,1791.32,348.89938033765554
7,1236.74,96.75842288917282,3370.0,259.6871194341375,2133.26,347.06188554780834
8,1213.34,86.9141208320029,3531.6,239.37042423825042,2318.26,317.65842094929576
9,1192.58,90.987271637301,3680.96,232.0900652763922,2488.38,313.3653388618467
10,1180.16,55.67453996217661,3800.54,212.00435938914086,2620.38,261.9227282997793
11,1169.5,63.97194697678037,3953.94,216.5656861093188,2784.44,272.7444342236886
12,1156.84,44.61675021782739,4082.2,161.2620228076034,2925.36,197.90934894541996
13,1140.76,34.40265106063775,4227.78,148.2592715481902,3087.02,178.6801040966789
14,1133.4666666666667,25.661557933133277,4324.2,107.97048979543747,3190.733333333333,128.89140993703015
15,1125.0,0.0,4456.0,0.0,3331.0,0.0
