Gene,Non-unique Gene name,Annotation,GCA_000024945.1,GCA_002005185.1,GCA_002082765.1,GCA_013393365.1,GCA_016127175.1,GCA_018406505.1,GCA_028743475.1,GCA_031190775.1,GCA_032695835.1,GCA_036456085.1,GCA_042850485.1,GCA_900186885.1,GCA_900187285.1,GCA_900637515.1,GCA_902810435.1
rplD,rplD,50S ribosomal protein L4,OKNGDJCJ_01545,GFDNPGNJ_00139,BFBCFGIC_01523,AMGBDAFE_01500,KOCEJNFM_00305,POEAOIBB_01518,GCKDAGAE_01180,PDIMPFPI_01523,AGBEICAE_00719,HCNBPFHJ_01117,BBFLPEJG_01564,AEMNHECO_01544,ICLGGANE_01568,PAGOGBDJ_01593,LAOJDNKF_01610
gloA,gloA,Lactoylglutathione lyase,OKNGDJCJ_01416,GFDNPGNJ_00017,BFBCFGIC_01392,AMGBDAFE_01375,KOCEJNFM_00433,POEAOIBB_01387,GCKDAGAE_01058,PDIMPFPI_01398,AGBEICAE_00563,HCNBPFHJ_00992,BBFLPEJG_01446,AEMNHECO_01416,ICLGGANE_01447,PAGOGBDJ_01464,LAOJDNKF_01485
rplJ,rplJ,50S ribosomal protein L10,OKNGDJCJ_01559,GFDNPGNJ_00153,BFBCFGIC_01536,AMGBDAFE_01514,KOCEJNFM_00291,POEAOIBB_01532,GCKDAGAE_01193,PDIMPFPI_01537,AGBEICAE_00732,HCNBPFHJ_01131,BBFLPEJG_01578,AEMNHECO_01558,ICLGGANE_01582,PAGOGBDJ_01606,LAOJDNKF_01624
tsf,tsf,Elongation factor Ts,OKNGDJCJ_00883,GFDNPGNJ_01499,BFBCFGIC_00836,AMGBDAFE_00982,KOCEJNFM_00966,POEAOIBB_00625,GCKDAGAE_00670,PDIMPFPI_00954,AGBEICAE_00101,HCNBPFHJ_00591,BBFLPEJG_00851,AEMNHECO_00883,ICLGGANE_00865,PAGOGBDJ_01072,LAOJDNKF_01081
hyaB~~~hoxG,hyaB;hoxG,Hydrogenase-1 large chain;Uptake hydrogenase large subunit,OKNGDJCJ_01215,GFDNPGNJ_01836,BFBCFGIC_01196,AMGBDAFE_00650,KOCEJNFM_00634,POEAOIBB_00969,GCKDAGAE_00316,PDIMPFPI_00610,AGBEICAE_01845,HCNBPFHJ_00244,BBFLPEJG_01186,AEMNHECO_01215,ICLGGANE_01251,PAGOGBDJ_00683,LAOJDNKF_00746
group_2747,scpA_1;scpA_2,Segregation and condensation protein A,OKNGDJCJ_00851,GFDNPGNJ_01467,BFBCFGIC_00804,AMGBDAFE_01013,KOCEJNFM_00998,POEAOIBB_00593,GCKDAGAE_00702,PDIMPFPI_00988,AGBEICAE_00134,HCNBPFHJ_00623,BBFLPEJG_00819,AEMNHECO_00851,ICLGGANE_00833,PAGOGBDJ_01104,LAOJDNKF_01113
scpB,scpB,Segregation and condensation protein B,OKNGDJCJ_00852,GFDNPGNJ_01468,BFBCFGIC_00805,AMGBDAFE_01012,KOCEJNFM_00997,POEAOIBB_00594,GCKDAGAE_00701,PDIMPFPI_00987,AGBEICAE_00133,HCNBPFHJ_00622,BBFLPEJG_00820,AEMNHECO_00852,ICLGGANE_00834,PAGOGBDJ_01103,LAOJDNKF_01112
ssuC,ssuC,Putative aliphatic sulfonates transport permease protein SsuC,OKNGDJCJ_01750,GFDNPGNJ_00399,BFBCFGIC_01756,AMGBDAFE_01789,KOCEJNFM_00100,POEAOIBB_01776,GCKDAGAE_01481,PDIMPFPI_01787,AGBEICAE_00960,HCNBPFHJ_01418,BBFLPEJG_01802,AEMNHECO_01749,ICLGGANE_01768,PAGOGBDJ_01839,LAOJDNKF_01819
ribH,ribH,67-dimethyl-8-ribityllumazine synthase,OKNGDJCJ_00977,GFDNPGNJ_01591,BFBCFGIC_00925,AMGBDAFE_00895,KOCEJNFM_00872,POEAOIBB_00719,GCKDAGAE_00577,PDIMPFPI_00862,AGBEICAE_02119,HCNBPFHJ_00498,BBFLPEJG_00944,AEMNHECO_00977,ICLGGANE_00958,PAGOGBDJ_00981,LAOJDNKF_00988
rpsS,rpsS,30S ribosomal protein S19,OKNGDJCJ_01542,GFDNPGNJ_00136,BFBCFGIC_01520,AMGBDAFE_01497,KOCEJNFM_00308,POEAOIBB_01515,GCKDAGAE_01177,PDIMPFPI_01520,AGBEICAE_00716,HCNBPFHJ_01114,BBFLPEJG_01561,AEMNHECO_01541,ICLGGANE_01565,PAGOGBDJ_01590,LAOJDNKF_01607
