Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
rplD,rplD,50S ribosomal protein L4,15,15,1.0,1,4449,,,,573,624,620.6,OKNGDJCJ_01545,GFDNPGNJ_00139,BFBCFGIC_01523,AMGBDAFE_01500,KOCEJNFM_00305,POEAOIBB_01518,GCKDAGAE_01180,PDIMPFPI_01523,AGBEICAE_00719,HCNBPFHJ_01117,BBFLPEJG_01564,AEMNHECO_01544,ICLGGANE_01568,PAGOGBDJ_01593,LAOJDNKF_01610
gloA,gloA,Lactoylglutathione lyase,15,15,1.0,1,4432,,,,375,375,375.0,OKNGDJCJ_01416,GFDNPGNJ_00017,BFBCFGIC_01392,AMGBDAFE_01375,KOCEJNFM_00433,POEAOIBB_01387,GCKDAGAE_01058,PDIMPFPI_01398,AGBEICAE_00563,HCNBPFHJ_00992,BBFLPEJG_01446,AEMNHECO_01416,ICLGGANE_01447,PAGOGBDJ_01464,LAOJDNKF_01485
rplJ,rplJ,50S ribosomal protein L10,15,15,1.0,1,4431,,,,498,507,501.0,OKNGDJCJ_01559,GFDNPGNJ_00153,BFBCFGIC_01536,AMGBDAFE_01514,KOCEJNFM_00291,POEAOIBB_01532,GCKDAGAE_01193,PDIMPFPI_01537,AGBEICAE_00732,HCNBPFHJ_01131,BBFLPEJG_01578,AEMNHECO_01558,ICLGGANE_01582,PAGOGBDJ_01606,LAOJDNKF_01624
tsf,tsf,Elongation factor Ts,15,15,1.0,1,4427,,,,681,681,681.0,OKNGDJCJ_00883,GFDNPGNJ_01499,BFBCFGIC_00836,AMGBDAFE_00982,KOCEJNFM_00966,POEAOIBB_00625,GCKDAGAE_00670,PDIMPFPI_00954,AGBEICAE_00101,HCNBPFHJ_00591,BBFLPEJG_00851,AEMNHECO_00883,ICLGGANE_00865,PAGOGBDJ_01072,LAOJDNKF_01081
hyaB~~~hoxG,hyaB;hoxG,Hydrogenase-1 large chain;Uptake hydrogenase large subunit,15,15,1.0,1,4423,,,,1902,1902,1902.0,OKNGDJCJ_01215,GFDNPGNJ_01836,BFBCFGIC_01196,AMGBDAFE_00650,KOCEJNFM_00634,POEAOIBB_00969,GCKDAGAE_00316,PDIMPFPI_00610,AGBEICAE_01845,HCNBPFHJ_00244,BBFLPEJG_01186,AEMNHECO_01215,ICLGGANE_01251,PAGOGBDJ_00683,LAOJDNKF_00746
group_2747,scpA_1;scpA_2,Segregation and condensation protein A,15,15,1.0,1,4418,,,,726,747,728.8,OKNGDJCJ_00851,GFDNPGNJ_01467,BFBCFGIC_00804,AMGBDAFE_01013,KOCEJNFM_00998,POEAOIBB_00593,GCKDAGAE_00702,PDIMPFPI_00988,AGBEICAE_00134,HCNBPFHJ_00623,BBFLPEJG_00819,AEMNHECO_00851,ICLGGANE_00833,PAGOGBDJ_01104,LAOJDNKF_01113
scpB,scpB,Segregation and condensation protein B,15,15,1.0,1,4415,,,,510,585,520.0,OKNGDJCJ_00852,GFDNPGNJ_01468,BFBCFGIC_00805,AMGBDAFE_01012,KOCEJNFM_00997,POEAOIBB_00594,GCKDAGAE_00701,PDIMPFPI_00987,AGBEICAE_00133,HCNBPFHJ_00622,BBFLPEJG_00820,AEMNHECO_00852,ICLGGANE_00834,PAGOGBDJ_01103,LAOJDNKF_01112
ssuC,ssuC,Putative aliphatic sulfonates transport permease protein SsuC,15,15,1.0,1,4407,,,,753,753,753.0,OKNGDJCJ_01750,GFDNPGNJ_00399,BFBCFGIC_01756,AMGBDAFE_01789,KOCEJNFM_00100,POEAOIBB_01776,GCKDAGAE_01481,PDIMPFPI_01787,AGBEICAE_00960,HCNBPFHJ_01418,BBFLPEJG_01802,AEMNHECO_01749,ICLGGANE_01768,PAGOGBDJ_01839,LAOJDNKF_01819
ribH,ribH,67-dimethyl-8-ribityllumazine synthase,15,15,1.0,1,4394,,,,462,462,462.0,OKNGDJCJ_00977,GFDNPGNJ_01591,BFBCFGIC_00925,AMGBDAFE_00895,KOCEJNFM_00872,POEAOIBB_00719,GCKDAGAE_00577,PDIMPFPI_00862,AGBEICAE_02119,HCNBPFHJ_00498,BBFLPEJG_00944,AEMNHECO_00977,ICLGGANE_00958,PAGOGBDJ_00981,LAOJDNKF_00988
rpsS,rpsS,30S ribosomal protein S19,15,15,1.0,1,4387,,,,282,282,282.0,OKNGDJCJ_01542,GFDNPGNJ_00136,BFBCFGIC_01520,AMGBDAFE_01497,KOCEJNFM_00308,POEAOIBB_01515,GCKDAGAE_01177,PDIMPFPI_01520,AGBEICAE_00716,HCNBPFHJ_01114,BBFLPEJG_01561,AEMNHECO_01541,ICLGGANE_01565,PAGOGBDJ_01590,LAOJDNKF_01607
rplW,rplW,50S ribosomal protein L23,15,15,1.0,1,4386,,,,285,285,285.0,OKNGDJCJ_01544,GFDNPGNJ_00138,BFBCFGIC_01522,AMGBDAFE_01499,KOCEJNFM_00306,POEAOIBB_01517,GCKDAGAE_01179,PDIMPFPI_01522,AGBEICAE_00718,HCNBPFHJ_01116,BBFLPEJG_01563,AEMNHECO_01543,ICLGGANE_01567,PAGOGBDJ_01592,LAOJDNKF_01609
dxr,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,15,15,1.0,1,4374,,,,1146,1152,1146.8,OKNGDJCJ_00889,GFDNPGNJ_01505,BFBCFGIC_00842,AMGBDAFE_00976,KOCEJNFM_00960,POEAOIBB_00631,GCKDAGAE_00664,PDIMPFPI_00948,AGBEICAE_00095,HCNBPFHJ_00585,BBFLPEJG_00857,AEMNHECO_00889,ICLGGANE_00871,PAGOGBDJ_01066,LAOJDNKF_01075
rlmN,rlmN,putative dual-specificity RNA methyltransferase RlmN,15,15,1.0,1,4373,,,,1047,1047,1047.0,OKNGDJCJ_00877,GFDNPGNJ_01493,BFBCFGIC_00830,AMGBDAFE_00988,KOCEJNFM_00972,POEAOIBB_00619,GCKDAGAE_00676,PDIMPFPI_00960,AGBEICAE_00107,HCNBPFHJ_00597,BBFLPEJG_00845,AEMNHECO_00877,ICLGGANE_00859,PAGOGBDJ_01078,LAOJDNKF_01087
glyS,glyS,Glycine--tRNA ligase beta subunit,15,15,1.0,1,4366,,,,2052,2052,2052.0,OKNGDJCJ_01002,GFDNPGNJ_01616,BFBCFGIC_00949,AMGBDAFE_00870,KOCEJNFM_00847,POEAOIBB_00745,GCKDAGAE_00553,PDIMPFPI_00837,AGBEICAE_02093,HCNBPFHJ_00473,BBFLPEJG_00969,AEMNHECO_01002,ICLGGANE_00985,PAGOGBDJ_00955,LAOJDNKF_00963
wecA,wecA,UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase,15,15,1.0,1,4365,,,,651,687,682.2,OKNGDJCJ_00695,GFDNPGNJ_01320,BFBCFGIC_00651,AMGBDAFE_01159,KOCEJNFM_01154,POEAOIBB_01172,GCKDAGAE_00847,PDIMPFPI_01186,AGBEICAE_00325,HCNBPFHJ_00777,BBFLPEJG_00676,AEMNHECO_00695,ICLGGANE_00687,PAGOGBDJ_01247,LAOJDNKF_01268
group_2709,,hypothetical protein,15,15,1.0,1,4361,,,,861,867,866.2,OKNGDJCJ_00696,GFDNPGNJ_01321,BFBCFGIC_00652,AMGBDAFE_01158,KOCEJNFM_01153,POEAOIBB_01171,GCKDAGAE_00846,PDIMPFPI_01185,AGBEICAE_00324,HCNBPFHJ_00776,BBFLPEJG_00677,AEMNHECO_00696,ICLGGANE_00688,PAGOGBDJ_01246,LAOJDNKF_01267
hybD,hybD,Hydrogenase 2 maturation protease,15,15,1.0,1,4351,,,,576,597,585.8,OKNGDJCJ_01213,GFDNPGNJ_01834,BFBCFGIC_01194,AMGBDAFE_00652,KOCEJNFM_00636,POEAOIBB_00967,GCKDAGAE_00318,PDIMPFPI_00612,AGBEICAE_01847,HCNBPFHJ_00246,BBFLPEJG_01184,AEMNHECO_01213,ICLGGANE_01249,PAGOGBDJ_00685,LAOJDNKF_00748
group_2700,,hypothetical protein,15,15,1.0,1,4348,,,,378,378,378.0,OKNGDJCJ_01212,GFDNPGNJ_01833,BFBCFGIC_01193,AMGBDAFE_00653,KOCEJNFM_00637,POEAOIBB_00966,GCKDAGAE_00319,PDIMPFPI_00613,AGBEICAE_01848,HCNBPFHJ_00247,BBFLPEJG_01183,AEMNHECO_01212,ICLGGANE_01248,PAGOGBDJ_00686,LAOJDNKF_00749
group_2697,,hypothetical protein,15,15,1.0,1,4345,,,,384,384,384.0,OKNGDJCJ_00729,GFDNPGNJ_01354,BFBCFGIC_00687,AMGBDAFE_01125,KOCEJNFM_01120,POEAOIBB_01136,GCKDAGAE_00813,PDIMPFPI_01152,AGBEICAE_00290,HCNBPFHJ_00743,BBFLPEJG_00710,AEMNHECO_00729,ICLGGANE_00721,PAGOGBDJ_01213,LAOJDNKF_01234
rluB,rluB,Ribosomal large subunit pseudouridine synthase B,15,15,1.0,1,4344,,,,726,729,728.6,OKNGDJCJ_00853,GFDNPGNJ_01469,BFBCFGIC_00806,AMGBDAFE_01011,KOCEJNFM_00996,POEAOIBB_00595,GCKDAGAE_00700,PDIMPFPI_00986,AGBEICAE_00132,HCNBPFHJ_00621,BBFLPEJG_00821,AEMNHECO_00853,ICLGGANE_00835,PAGOGBDJ_01102,LAOJDNKF_01111
rbsA,rbsA,Ribose import ATP-binding protein RbsA,15,15,1.0,1,4343,,,,1482,1482,1482.0,OKNGDJCJ_00111,GFDNPGNJ_00689,BFBCFGIC_00244,AMGBDAFE_00111,KOCEJNFM_01738,POEAOIBB_00101,GCKDAGAE_01767,PDIMPFPI_00071,AGBEICAE_01321,HCNBPFHJ_01697,BBFLPEJG_00118,AEMNHECO_00111,ICLGGANE_00122,PAGOGBDJ_00106,LAOJDNKF_00114
rbsB,rbsB,Ribose import binding protein RbsB,15,15,1.0,1,4342,,,,903,906,905.8,OKNGDJCJ_00109,GFDNPGNJ_00687,BFBCFGIC_00242,AMGBDAFE_00109,KOCEJNFM_01740,POEAOIBB_00099,GCKDAGAE_01765,PDIMPFPI_00069,AGBEICAE_01319,HCNBPFHJ_01695,BBFLPEJG_00116,AEMNHECO_00109,ICLGGANE_00120,PAGOGBDJ_00104,LAOJDNKF_00112
group_2696,,putative protein,15,15,1.0,1,4341,,,,1248,1251,1248.4,OKNGDJCJ_00854,GFDNPGNJ_01470,BFBCFGIC_00807,AMGBDAFE_01010,KOCEJNFM_00995,POEAOIBB_00596,GCKDAGAE_00699,PDIMPFPI_00985,AGBEICAE_00131,HCNBPFHJ_00620,BBFLPEJG_00822,AEMNHECO_00854,ICLGGANE_00836,PAGOGBDJ_01101,LAOJDNKF_01110
hom~~~hom_1~~~hom_2,hom;hom_1;hom_2,Homoserine dehydrogenase,15,16,1.0666666666666667,1,4335,,,,303,1290,1208.25,OKNGDJCJ_00925,GFDNPGNJ_01541,BFBCFGIC_00877,AMGBDAFE_00942,KOCEJNFM_00924,POEAOIBB_00666;POEAOIBB_00667,GCKDAGAE_00629,PDIMPFPI_00912,AGBEICAE_00055,HCNBPFHJ_00549,BBFLPEJG_00893,AEMNHECO_00925,ICLGGANE_00908,PAGOGBDJ_01031,LAOJDNKF_01039
thrB,thrB,Homoserine kinase,15,15,1.0,1,4331,,,,915,927,917.0,OKNGDJCJ_00926,GFDNPGNJ_01542,BFBCFGIC_00878,AMGBDAFE_00941,KOCEJNFM_00923,POEAOIBB_00668,GCKDAGAE_00628,PDIMPFPI_00911,AGBEICAE_00054,HCNBPFHJ_00548,BBFLPEJG_00894,AEMNHECO_00926,ICLGGANE_00909,PAGOGBDJ_01030,LAOJDNKF_01038
group_2685,,hypothetical protein,15,15,1.0,1,4327,,,,465,465,465.0,OKNGDJCJ_00354,GFDNPGNJ_00919,BFBCFGIC_00375,AMGBDAFE_00341,KOCEJNFM_01495,POEAOIBB_00329,GCKDAGAE_02009,PDIMPFPI_00302,AGBEICAE_01467,HCNBPFHJ_01930,BBFLPEJG_00354,AEMNHECO_00354,ICLGGANE_00363,PAGOGBDJ_00323,LAOJDNKF_00346
citD,citD,Citrate lyase acyl carrier protein,15,15,1.0,1,4324,,,,270,270,270.0,OKNGDJCJ_01444,GFDNPGNJ_00046,BFBCFGIC_01423,AMGBDAFE_01403,KOCEJNFM_00405,POEAOIBB_01420,GCKDAGAE_01085,PDIMPFPI_01425,AGBEICAE_00599,HCNBPFHJ_01021,BBFLPEJG_01475,AEMNHECO_01444,ICLGGANE_01469,PAGOGBDJ_01493,LAOJDNKF_01516
citF,citF,Citrate lyase alpha chain,15,15,1.0,1,4323,,,,1548,1548,1548.0,OKNGDJCJ_01442,GFDNPGNJ_00044,BFBCFGIC_01421,AMGBDAFE_01401,KOCEJNFM_00407,POEAOIBB_01418,GCKDAGAE_01083,PDIMPFPI_01423,AGBEICAE_00597,HCNBPFHJ_01019,BBFLPEJG_01473,AEMNHECO_01442,ICLGGANE_01467,PAGOGBDJ_01491,LAOJDNKF_01514
group_2679,,Putative TrmH family tRNA/rRNA methyltransferase,15,15,1.0,1,4316,,,,732,738,732.8,OKNGDJCJ_01040,GFDNPGNJ_01652,BFBCFGIC_00995,AMGBDAFE_00835,KOCEJNFM_00809,POEAOIBB_00780,GCKDAGAE_00515,PDIMPFPI_00798,AGBEICAE_02052,HCNBPFHJ_00432,BBFLPEJG_01005,AEMNHECO_01040,ICLGGANE_01013,PAGOGBDJ_00871,LAOJDNKF_00928
group_2673,,S-methyl-5'-thioinosine phosphorylase,15,15,1.0,1,4307,,,,795,795,795.0,OKNGDJCJ_00975,GFDNPGNJ_01589,BFBCFGIC_00923,AMGBDAFE_00897,KOCEJNFM_00874,POEAOIBB_00717,GCKDAGAE_00579,PDIMPFPI_00864,AGBEICAE_00002,HCNBPFHJ_00500,BBFLPEJG_00942,AEMNHECO_00975,ICLGGANE_00956,PAGOGBDJ_00983,LAOJDNKF_00990
dapB,dapB,4-hydroxy-tetrahydrodipicolinate reductase,15,15,1.0,1,4305,,,,798,798,798.0,OKNGDJCJ_00954,GFDNPGNJ_01570,BFBCFGIC_00906,AMGBDAFE_00914,KOCEJNFM_00895,POEAOIBB_00696,GCKDAGAE_00600,PDIMPFPI_00883,AGBEICAE_00024,HCNBPFHJ_00520,BBFLPEJG_00922,AEMNHECO_00954,ICLGGANE_00937,PAGOGBDJ_01002,LAOJDNKF_01010
DmdB,DmdB,23-dimethylmalate dehydratase small subunit,15,15,1.0,1,4280,,,,492,492,492.0,OKNGDJCJ_00100,GFDNPGNJ_00669,BFBCFGIC_00152,AMGBDAFE_00095,KOCEJNFM_01749,POEAOIBB_00087,GCKDAGAE_01755,PDIMPFPI_00050,AGBEICAE_01219,HCNBPFHJ_01675,BBFLPEJG_00100,AEMNHECO_00100,ICLGGANE_00114,PAGOGBDJ_00085,LAOJDNKF_00094
ssp5~~~pac,;ssp5;pac,hypothetical protein;Agglutinin receptor;Major cell-surface adhesin PAc,15,15,1.0,1,4279,,,,3105,3852,3593.0,OKNGDJCJ_01638,GFDNPGNJ_00229,BFBCFGIC_01636,AMGBDAFE_01620,KOCEJNFM_00212,POEAOIBB_01615,GCKDAGAE_01274,PDIMPFPI_01613,AGBEICAE_00817,HCNBPFHJ_01207,BBFLPEJG_01654,AEMNHECO_01637,ICLGGANE_01660,PAGOGBDJ_01698,LAOJDNKF_01700
