locus_tag	ftype	length_bp	gene	EC_number	COG	product
INKIDPLN_00001	CDS	849				hypothetical protein
INKIDPLN_00002	CDS	594				hypothetical protein
INKIDPLN_00003	CDS	1251	yhhS			putative MFS-type transporter YhhS
INKIDPLN_00004	CDS	1224	pepT	3.4.11.4	COG2195	Peptidase T
INKIDPLN_00005	CDS	1935				hypothetical protein
INKIDPLN_00006	CDS	786	glnH_1		COG0834	Glutamine-binding periplasmic protein
INKIDPLN_00007	CDS	1026	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
INKIDPLN_00008	tRNA	91				tRNA-Ser(gga)
INKIDPLN_00009	CDS	1236	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
INKIDPLN_00010	CDS	3741	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
INKIDPLN_00011	CDS	906	cynR			HTH-type transcriptional regulator CynR
INKIDPLN_00012	CDS	576	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
INKIDPLN_00013	CDS	447				hypothetical protein
INKIDPLN_00014	CDS	441				hypothetical protein
INKIDPLN_00015	CDS	492	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
INKIDPLN_00016	CDS	729	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
INKIDPLN_00017	CDS	1419	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
INKIDPLN_00018	CDS	1062	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
INKIDPLN_00019	CDS	618	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
INKIDPLN_00020	CDS	1530	purH			Bifunctional purine biosynthesis protein PurH
INKIDPLN_00021	CDS	1263	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
INKIDPLN_00022	CDS	1143	pchA	5.4.4.2	COG1169	Salicylate biosynthesis isochorismate synthase
INKIDPLN_00023	CDS	1767	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
INKIDPLN_00024	CDS	861	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
INKIDPLN_00025	CDS	843	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
INKIDPLN_00026	CDS	1386	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
INKIDPLN_00027	CDS	1152	menC	4.2.1.113	COG4948	o-succinylbenzoate synthase
INKIDPLN_00028	CDS	378		3.1.2.-	COG2050	Putative esterase
INKIDPLN_00029	CDS	618				hypothetical protein
INKIDPLN_00030	CDS	1233				hypothetical protein
INKIDPLN_00031	tRNA	76				tRNA-Asp(gtc)
INKIDPLN_00032	tRNA	76				tRNA-Phe(gaa)
