locus_tag	ftype	length_bp	gene	EC_number	COG	product
GFDNPGNJ_00001	CDS	1701	srpC			Solvent efflux pump outer membrane protein SrpC
GFDNPGNJ_00002	CDS	279				hypothetical protein
GFDNPGNJ_00003	tRNA	77				tRNA-Arg(acg)
GFDNPGNJ_00004	tRNA	76				tRNA-Trp(cca)
GFDNPGNJ_00005	rRNA	110				5S ribosomal RNA
GFDNPGNJ_00006	rRNA	2928				23S ribosomal RNA
GFDNPGNJ_00007	tRNA	76				tRNA-Ala(tgc)
GFDNPGNJ_00008	tRNA	77				tRNA-Ile(gat)
GFDNPGNJ_00009	rRNA	1560				16S ribosomal RNA
GFDNPGNJ_00010	tRNA	76				tRNA-Lys(ttt)
GFDNPGNJ_00011	tRNA	75				tRNA-Gln(ttg)
GFDNPGNJ_00012	tRNA	76				tRNA-His(gtg)
GFDNPGNJ_00013	CDS	840	speE	2.5.1.16	COG0421	Polyamine aminopropyltransferase
GFDNPGNJ_00014	CDS	630				hypothetical protein
GFDNPGNJ_00015	CDS	435	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
GFDNPGNJ_00016	CDS	708	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
GFDNPGNJ_00017	CDS	375	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
GFDNPGNJ_00018	CDS	3084	sbcC			Nuclease SbcCD subunit C
GFDNPGNJ_00019	CDS	1233	sbcD		COG0420	Nuclease SbcCD subunit D
GFDNPGNJ_00020	CDS	837	nfo	3.1.21.2	COG0648	putative endonuclease 4
GFDNPGNJ_00021	CDS	420	perR		COG0735	Transcriptional regulator PerR
GFDNPGNJ_00022	CDS	1548	cshA	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshA
GFDNPGNJ_00023	CDS	429				hypothetical protein
GFDNPGNJ_00024	CDS	393				hypothetical protein
GFDNPGNJ_00025	CDS	951				hypothetical protein
GFDNPGNJ_00026	CDS	576				hypothetical protein
GFDNPGNJ_00027	CDS	1485	aldA	1.2.1.3		Putative aldehyde dehydrogenase AldA
GFDNPGNJ_00028	CDS	2313	yhgF		COG2183	Protein YhgF
GFDNPGNJ_00029	CDS	495	dfrA	1.5.1.3	COG0262	Dihydrofolate reductase
GFDNPGNJ_00030	CDS	792	thyA1	2.1.1.45	COG0207	Thymidylate synthase 1
GFDNPGNJ_00031	CDS	1869	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
GFDNPGNJ_00032	CDS	1488	opuE_1		COG0591	Osmoregulated proline transporter OpuE
GFDNPGNJ_00033	CDS	1029				hypothetical protein
GFDNPGNJ_00034	CDS	1617			COG0500	putative protein RP789
GFDNPGNJ_00035	CDS	3537	por	1.2.7.1	COG0674	Pyruvate synthase
GFDNPGNJ_00036	CDS	924	gltC			HTH-type transcriptional regulator GltC
GFDNPGNJ_00037	CDS	420				hypothetical protein
GFDNPGNJ_00038	CDS	618				hypothetical protein
GFDNPGNJ_00039	CDS	1314	ttuB			Putative tartrate transporter
GFDNPGNJ_00040	CDS	357			COG0662	Oxalate-binding protein
GFDNPGNJ_00041	CDS	876				hypothetical protein
GFDNPGNJ_00042	CDS	999				hypothetical protein
GFDNPGNJ_00043	CDS	501				hypothetical protein
GFDNPGNJ_00044	CDS	1548	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
GFDNPGNJ_00045	CDS	966	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
GFDNPGNJ_00046	CDS	270	citD		COG3052	Citrate lyase acyl carrier protein
GFDNPGNJ_00047	CDS	1404	ybhI_1		COG0471	Inner membrane protein YbhI
GFDNPGNJ_00048	CDS	912	cmpR			HTH-type transcriptional activator CmpR
GFDNPGNJ_00049	CDS	744	ybhL		COG0670	Inner membrane protein YbhL
GFDNPGNJ_00050	CDS	1749	pyk	2.7.1.40		Pyruvate kinase
GFDNPGNJ_00051	CDS	3408	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
GFDNPGNJ_00052	CDS	744				hypothetical protein
GFDNPGNJ_00053	CDS	480				hypothetical protein
GFDNPGNJ_00054	CDS	345				hypothetical protein
GFDNPGNJ_00055	CDS	468				hypothetical protein
GFDNPGNJ_00056	CDS	885				hypothetical protein
GFDNPGNJ_00057	CDS	765				hypothetical protein
GFDNPGNJ_00058	CDS	249				hypothetical protein
GFDNPGNJ_00059	CDS	753				hypothetical protein
GFDNPGNJ_00060	CDS	462	immR_1		COG1396	HTH-type transcriptional regulator ImmR
GFDNPGNJ_00061	CDS	1305	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
GFDNPGNJ_00062	CDS	975	hemB	4.2.1.24		Delta-aminolevulinic acid dehydratase
GFDNPGNJ_00063	CDS	1509	nasF	2.1.1.107	COG0007	Uroporphyrinogen-III C-methyltransferase
GFDNPGNJ_00064	CDS	939	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
GFDNPGNJ_00065	CDS	1272	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
GFDNPGNJ_00066	CDS	648	cysG		COG0007	Siroheme synthase
GFDNPGNJ_00067	CDS	786				hypothetical protein
GFDNPGNJ_00068	CDS	795	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
GFDNPGNJ_00069	CDS	498	sepF			Cell division protein SepF
GFDNPGNJ_00070	CDS	687			COG0325	Pyridoxal phosphate homeostasis protein
GFDNPGNJ_00071	CDS	855		1.10.3.-	COG1496	Polyphenol oxidase
GFDNPGNJ_00072	CDS	1728	miaB_1	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
GFDNPGNJ_00073	CDS	720				hypothetical protein
GFDNPGNJ_00074	CDS	462				hypothetical protein
GFDNPGNJ_00075	CDS	1008	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
GFDNPGNJ_00076	CDS	786	ylmA	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
GFDNPGNJ_00077	CDS	489	ilvH_1	2.2.1.6	COG0440	Putative acetolactate synthase small subunit
GFDNPGNJ_00078	CDS	1710	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase large subunit
GFDNPGNJ_00079	CDS	1224	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
GFDNPGNJ_00080	CDS	1671	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
GFDNPGNJ_00081	CDS	132				hypothetical protein
GFDNPGNJ_00082	CDS	1404	yflS_1		COG0471	Putative malate transporter YflS
